epoch,steps,diffs
1,None,0.019661653331158702
2,None,0.010484103577858596
3,None,0.007065917535626652
4,None,0.10884066891813585
5,None,0.004073933213150711
6,None,0.05311470194387242
7,None,0.0037303112502609466
8,None,0.00312791393737746
9,None,0.00332167736907723
10,None,0.002617548528262839
11,None,0.00392885913729695
12,None,0.0025194003861360643
13,None,0.002717407380009717
14,None,0.0030401133201389224
15,None,0.002433591624959088
16,None,0.04695202338272771
17,None,0.001922675387214216
18,None,0.0026779576207734954
19,None,0.0015561895159938058
20,None,0.0020395819715754017
21,None,0.0010436904183724646
22,None,0.0019088715295723152
23,21,0.0020738128613430645
24,None,0.0010298727329213569
25,19,0.0018120374810058422
26,17,0.06080015094873225
27,None,0.18995392597008165
28,None,0.0009271658754810758
29,16,0.001341512233092804
30,16,0.016723159109335625
31,16,0.03376788592623263
32,16,0.09188259968680355
33,16,0.010054661652554921
34,16,0.22494740310825848
35,16,0.09099933491039561
36,16,0.08200272265819634
37,16,0.2299431713487875
38,17,0.06643319259570865
39,17,0.286261853802125
40,18,0.24416761841817164
41,16,0.2509547491442256
42,16,0.3683825169496778
43,16,0.15630002803028303
44,16,0.15729844483563246
45,16,0.27562956930479526
46,16,0.06794206564896497
47,16,0.42343115567229656
48,16,0.17902793342672138
49,16,0.08960881762449532
50,16,0.12389342345120612
51,16,0.24951998057611796
52,16,0.2175573376629827
53,16,0.4150518479460058
54,16,0.42943312875050826
55,16,0.15940735670440975
56,16,0.2754111768960827
57,16,0.15213348632881807
58,16,0.05685824341385499
59,16,0.09927170615253104
60,16,0.22750748923840292
61,16,0.08176262119612011
62,16,0.07746231628459523
63,16,0.02346986226242374
64,16,0.03426683860240466
65,16,0.007265805176001082
66,16,0.005448585518567037
67,16,0.2362468012865348
68,16,0.003439428955609718
69,16,0.08194622698190547
70,16,0.009127014006090436
71,16,0.011709167793494792
72,16,0.0564003011958195
73,16,0.07008465396051089
74,16,0.014438238491931439
75,16,0.018123107976470102
76,16,0.038480854734487785
77,16,0.034783510913341295
78,16,0.0022807869713673827
79,16,0.09469454749632539
80,16,0.05349451660068116
81,16,0.04540125650830349
82,16,0.03709342267871232
83,16,0.00013656182880366702
84,16,0.03915317920049456
85,16,3.8010494952931597e-05
86,16,3.0960343611614844e-06
87,16,0.00786264141791981
88,16,0.0002813892649014473
89,16,7.360353722070822e-06
90,16,0.026274940236409503
91,16,0.06093717566194041
92,16,0.031141431839863294
93,16,0.03096521053795399
94,16,1.1875691166827839e-07
95,16,0.0009703466665277231
96,16,0.0002395404774165653
97,16,0.04415584212903206
98,16,6.473276154420141e-06
99,16,0.034715851360809485
100,16,0.0001483192599674616
101,16,4.159739991722699e-06
102,16,0.003116367997781973
103,16,0.0011734991034721561
104,16,0.001267829349395412
105,16,3.721935784251938e-05
106,16,0.0061205024063164535
107,16,8.066263299955125e-05
108,16,0.0005995553752126315
109,16,0.0004948966930363199
110,16,6.644414610801618e-05
111,16,6.100722462719095e-07
112,16,1.582002732920455e-05
113,16,0.049840897715900445
114,16,0.00036796172736973577
115,16,5.757812742035922e-08
116,16,4.343840337239641e-05
117,16,2.1674064864301685e-07
118,16,0.0181251687713838
119,16,3.830753916391014e-06
120,16,6.701755882378049e-09
121,16,0.00015609457972783454
122,16,1.6813010984561147e-05
123,16,1.132655040556421e-07
124,16,8.39913721279766e-05
125,16,8.711547543762034e-05
126,16,8.875541679424165e-07
127,16,0.00036745089306026605
128,16,2.297252333252055e-05
129,16,1.0139164367293238e-06
130,16,1.2723889990462708e-06
131,16,1.6582318100405515e-06
132,16,8.613545512175181e-06
133,16,6.144304426132985e-07
134,16,4.718766603478075e-05
135,16,6.783752565827606e-07
136,16,0.021775179244030447
137,16,3.066244120204159e-08
138,16,4.18087245704576e-05
139,16,2.4884748554003966e-06
140,16,2.8008946015439633e-15

