method,hidden_size,eps_start,episode,rewards,Q_values,loss
method,hidden_size,eps_start,episode,rewards,Q_values,loss
DQN,256,0.5,1,-10000.0,-360.89410400390625,27556816.0
DQN,256,0.5,2,-10000.0,-2640.503662109375,26225254.0
DQN,256,0.5,3,0.0,-4318.6904296875,8633076.0
DQN,256,0.5,4,0.0,-4788.435546875,6200262.5
DQN,256,0.5,5,0.0,-5570.7158203125,9771526.0
DQN,256,0.8,1,-10000.0,-317.0657043457031,28127958.0
DQN,256,0.8,2,0.0,-1718.857421875,17590954.0
DQN,256,0.8,3,0.0,-4606.92041015625,8435414.0
DQN,256,0.8,4,-10000.0,-4367.9580078125,4791556.5
DQN,256,0.8,5,0.0,-4763.5703125,20513636.0
DQN,256,0.8,1,-10000.0,-365.795654296875,26554930.0
DQN,256,0.8,2,0.0,-1883.4630126953125,16671663.0
DQN,256,0.8,3,-10000.0,-4720.45703125,15250592.0
DQN,256,0.8,4,0.0,-5104.05078125,5368083.0
DQN,256,0.8,5,0.0,-4943.55322265625,3563021.25
DQN,256,0.5,1,-10000.0,-355.3265380859375,26417856.0
DQN,256,0.5,2,-10000.0,-1181.50830078125,14704607.0
DQN,256,0.5,3,0.0,-3412.61669921875,8980999.0
DQN,256,0.5,4,-10000.0,-4934.95361328125,9806981.0
DQN,256,0.5,5,0.0,-5376.20556640625,16798274.0
DQN,256,1.0,1,-10000.0,-331.0988464355469,28685042.0
DQN,256,1.0,2,-10000.0,-2487.552978515625,14932932.0
DQN,256,1.0,3,-10000.0,-4124.8203125,10841841.0
DQN,256,1.0,4,-10000.0,-3203.8173828125,5556601.0
DQN,256,1.0,5,-10000.0,-3829.197021484375,16885240.0
DQN,256,0.8,1,-10000.0,-402.9642333984375,27745364.0
DQN,256,0.8,2,-10000.0,-1420.1669921875,15026955.0
DQN,256,0.8,3,-10000.0,-3864.57861328125,13333299.0
DQN,256,0.8,4,-10000.0,-4361.78466796875,8804546.0
DQN,256,0.8,5,0.0,-4795.4013671875,19016768.0
DQN,512,0.5,1,0.0,-736.2902221679688,24376196.0
method,hidden_size,eps_start,episode,rewards,Q_values,loss
DQN,256,0.5,1,-10000.0,-269.2472839355469,27925226.0
DQN,256,0.5,2,-10000.0,-2319.110595703125,15502838.0
DQN,256,0.5,3,0.0,-4210.33056640625,4328371.5
DQN,256,0.5,4,-10000.0,-4688.8427734375,11556228.0
DQN,256,0.5,5,-10000.0,-12325.091796875,1513324.625
DQN,256,0.8,1,-10000.0,-361.1976318359375,27214856.0
DQN,256,0.8,2,-10000.0,-2141.451416015625,14047319.0
DQN,256,0.8,3,-10000.0,-4677.7001953125,13445310.0
method,hidden_size,eps_start,episode,rewards,Q_values,loss
DQN,256,0.5,1,0.0,-367.9314880371094,29025024.0
DQN,256,0.5,2,0.0,-1854.0487060546875,24840318.0
DQN,256,0.5,3,0.0,-4085.115966796875,6562238.0
DQN,256,0.5,4,-10000.0,-4260.759765625,4262040.0
DQN,256,0.5,5,0.0,-5220.71630859375,11363986.0
 , , , , , 
DQN,256,0.8,1,-10000.0,-362.9928894042969,25801078.0
DQN,256,0.8,2,-10000.0,-1881.8656005859375,16886632.0
DQN,256,0.8,3,0.0,-4375.955078125,16213797.0
DQN,256,0.8,4,0.0,-4968.97705078125,8930732.0
DQN,256,0.8,5,-10000.0,-4570.65478515625,4690427.0
 , , , , , 
DQN,256,0.8,1,-10000.0,-350.0805969238281,27860626.0
DQN,256,0.8,2,0.0,-1895.120361328125,15966056.0
DQN,256,0.8,3,0.0,-4429.52734375,14148629.0
DQN,256,0.8,4,0.0,-4908.08544921875,16137006.0
DQN,256,0.8,5,0.0,-5508.67138671875,20873896.0
 , , , , , 
DQN,256,0.5,1,-10000.0,-358.8612365722656,26015490.0
DQN,256,0.5,2,-10000.0,-1188.2802734375,23594658.0
DQN,256,0.5,3,-10000.0,-3906.484619140625,15076887.0
DQN,256,0.5,4,-10000.0,-4214.65185546875,20354242.0
DQN,256,0.5,5,-10000.0,-5131.85546875,12066947.0
 , , , , , 
DQN,256,1.0,1,0.0,-265.5250549316406,25915270.0
DQN,256,1.0,2,-10000.0,-1913.7349853515625,15158944.0
DQN,256,1.0,3,0.0,-3912.649658203125,10921715.0
DQN,256,1.0,4,-10000.0,-5215.4716796875,13837290.0
DQN,256,1.0,5,-10000.0,-4824.06201171875,20206462.0
 , , , , , 
DQN,256,0.8,1,0.0,-356.5716247558594,26338824.0
DQN,256,0.8,2,-10000.0,-2193.5791015625,21329738.0
DQN,256,0.8,3,0.0,-4597.078125,9294203.0
DQN,256,0.8,4,-10000.0,-4993.35595703125,9559369.0
DQN,256,0.8,5,-10000.0,-10996.662109375,1422547.75
 , , , , , 
DQN,512,0.5,1,-10000.0,-685.4129638671875,22750858.0
DQN,512,0.5,2,-10000.0,-3525.59521484375,9396185.0
DQN,512,0.5,3,-10000.0,-4802.5751953125,9707054.0
DQN,512,0.5,4,0.0,-4969.19921875,11915130.0
